agent_id,time,lng,lat
Car-1,2008-12-07 08:03:18,116.3098166,39.9897599
Car-1,2008-12-07 08:03:19,116.3098116,39.9897299
Car-1,2008-12-07 08:03:21,116.3098183,39.9896733
Car-1,2008-12-07 08:03:23,116.3098216,39.9896733
Car-1,2008-12-07 08:03:25,116.3098216,39.989655
Car-1,2008-12-07 08:03:27,116.3098166,39.9896533
Car-1,2008-12-07 08:03:40,116.3098116,39.989245
Car-1,2008-12-07 08:03:42,116.3098049,39.9891733
Car-1,2008-12-07 08:03:44,116.3097899,39.9889683
Car-1,2008-12-07 08:03:46,116.3097699,39.9888183
Car-1,2008-12-07 08:03:48,116.3097616,39.9887233
Car-1,2008-12-07 08:03:50,116.3097516,39.988645
Car-1,2008-12-07 08:03:52,116.3097433,39.9885816
Car-1,2008-12-07 08:03:54,116.3097483,39.98852
Car-1,2008-12-07 08:03:56,116.3097666,39.9885283
Car-1,2008-12-07 08:05:00,116.30976,39.988505
Car-1,2008-12-07 08:05:02,116.3097583,39.9885233
Car-1,2008-12-07 08:05:04,116.3097633,39.988545
Car-1,2008-12-07 08:05:06,116.3097716,39.9885783
Car-1,2008-12-07 08:05:08,116.3097866,39.9886233
Car-1,2008-12-07 08:05:10,116.3098083,39.9886583
Car-1,2008-12-07 08:05:12,116.30985,39.9886699
Car-1,2008-12-07 08:05:14,116.3098733,39.988715
Car-1,2008-12-07 08:05:16,116.3098866,39.98877
Car-1,2008-12-07 08:05:18,116.3099016,39.9887916
Car-1,2008-12-07 08:05:20,116.3099283,39.9888183
Car-1,2008-12-07 08:05:22,116.3099366,39.9888533
Car-1,2008-12-07 08:05:24,116.3099483,39.9888766
Car-1,2008-12-07 08:05:26,116.3099516,39.9889016
Car-1,2008-12-07 08:05:28,116.3099649,39.9889133
Car-1,2008-12-07 08:05:30,116.3099533,39.9889333
Car-1,2008-12-07 08:05:32,116.3099333,39.9889583
Car-1,2008-12-07 08:05:36,116.3099116,39.9890333
Car-1,2008-12-07 08:05:38,116.3098666,39.989105
Car-1,2008-12-07 08:05:40,116.3098199,39.9892016
Car-1,2008-12-07 08:05:42,116.3098033,39.9893283
Car-1,2008-12-07 08:05:56,116.3098399,39.9902016
Car-1,2008-12-07 08:05:58,116.3098983,39.9903616
Car-1,2008-12-07 08:06:00,116.3099799,39.9904849
Car-1,2008-12-07 08:06:02,116.3101483,39.990695
Car-1,2008-12-07 08:06:04,116.3103083,39.9908033
Car-1,2008-12-07 08:06:06,116.3104816,39.9908566
Car-1,2008-12-07 08:06:08,116.3106633,39.9908833
Car-1,2008-12-07 08:06:10,116.3108966,39.9909083
Car-1,2008-12-07 08:06:12,116.3111416,39.99093
Car-1,2008-12-07 08:06:14,116.3113983,39.9909516
Car-1,2008-12-07 08:06:16,116.3116666,39.9909816
Car-1,2008-12-07 08:06:18,116.3119233,39.991015
Car-1,2008-12-07 08:06:20,116.3121849,39.9910233
Car-1,2008-12-07 08:06:22,116.3124483,39.9910283
Car-1,2008-12-07 08:06:24,116.3127233,39.99103
Car-1,2008-12-07 08:06:26,116.3130033,39.99104
Car-1,2008-12-07 08:06:29,116.31343,39.9910533
Car-1,2008-12-07 08:06:32,116.3138316,39.9910616
Car-1,2008-12-07 08:06:34,116.3140966,39.9910716
Car-1,2008-12-07 08:06:36,116.3143433,39.9910799
Car-1,2008-12-07 08:06:38,116.3145716,39.9910899
Car-1,2008-12-07 08:06:40,116.3147849,39.9911083
Car-1,2008-12-07 08:06:42,116.3149583,39.9911199
Car-1,2008-12-07 08:06:44,116.3151016,39.9911299
Car-1,2008-12-07 08:06:46,116.3151983,39.9911299
Car-1,2008-12-07 08:06:48,116.3152749,39.9911416
Car-1,2008-12-07 08:06:50,116.3153049,39.9911566
Car-1,2008-12-07 08:06:52,116.3152916,39.9911683
Car-1,2008-12-07 08:06:54,116.3152866,39.9911683
Car-1,2008-12-07 08:06:56,116.3152866,39.9911516
Car-1,2008-12-07 08:06:58,116.3152916,39.9911516
Car-1,2008-12-07 08:07:44,116.3153016,39.9911299
Car-1,2008-12-07 08:07:46,116.3153583,39.9911383
Car-1,2008-12-07 08:07:48,116.3154433,39.9911416
Car-1,2008-12-07 08:07:50,116.3155583,39.9911516
Car-1,2008-12-07 08:07:52,116.3157033,39.991155
Car-1,2008-12-07 08:07:54,116.3158816,39.9911483
Car-1,2008-12-07 08:07:56,116.31608,39.9911416
Car-1,2008-12-07 08:07:58,116.3162816,39.9911449
Car-1,2008-12-07 08:08:00,116.3164933,39.9911633
Car-1,2008-12-07 08:08:02,116.3167083,39.9911983
Car-1,2008-12-07 08:08:04,116.3169216,39.9912516
Car-1,2008-12-07 08:08:06,116.3171366,39.9912849
Car-1,2008-12-07 08:08:08,116.3173566,39.9913416
Car-1,2008-12-07 08:08:10,116.3175616,39.9913933
Car-1,2008-12-07 08:08:12,116.3177683,39.9914316
Car-1,2008-12-07 08:08:14,116.3179533,39.9914716
Car-1,2008-12-07 08:08:16,116.31809,39.9914949
Car-1,2008-12-07 08:08:18,116.3181316,39.9914399
Car-1,2008-12-07 08:08:20,116.3181116,39.9913599
Car-1,2008-12-07 08:08:22,116.3180933,39.9913066
Car-1,2008-12-07 08:08:24,116.3180833,39.991265
Car-1,2008-12-07 08:08:26,116.3181166,39.9912883
Car-1,2008-12-07 08:08:28,116.3181366,39.9913283
Car-1,2008-12-07 08:08:30,116.3181416,39.9913483
Car-1,2008-12-07 08:08:32,116.3181649,39.9913766
Car-1,2008-12-07 08:08:34,116.3182183,39.99139
Car-1,2008-12-07 08:08:36,116.3183166,39.9913883
Car-1,2008-12-07 08:08:38,116.3184599,39.9914066
Car-1,2008-12-07 08:08:40,116.3186266,39.99142
Car-1,2008-12-07 08:08:42,116.3188566,39.991475
Car-1,2008-12-07 08:08:44,116.3190416,39.9914833
Car-1,2008-12-07 08:08:46,116.3191799,39.9914833
Car-1,2008-12-07 08:08:48,116.3192816,39.9914849
Car-1,2008-12-07 08:08:50,116.3193566,39.9914799
Car-1,2008-12-07 08:08:52,116.3193616,39.9914083
Car-1,2008-12-07 08:08:54,116.3194049,39.9913916
Car-1,2008-12-07 08:08:56,116.3194583,39.9913583
Car-1,2008-12-07 08:08:58,116.3194999,39.9912699
Car-1,2008-12-07 08:09:00,116.3196149,39.9912383
Car-1,2008-12-07 08:09:02,116.3197599,39.9912199
Car-1,2008-12-07 08:09:04,116.3199233,39.9911616
Car-1,2008-12-07 08:09:06,116.3200899,39.991165
Car-1,2008-12-07 08:09:08,116.3202399,39.9911749
Car-1,2008-12-07 08:09:10,116.3203999,39.991185
Car-1,2008-12-07 08:09:12,116.320585,39.9912033
Car-1,2008-12-07 08:09:14,116.3207733,39.991235
Car-1,2008-12-07 08:09:16,116.3209583,39.9912516
Car-1,2008-12-07 08:09:18,116.321145,39.9912849
Car-1,2008-12-07 08:09:20,116.3213066,39.9913033
Car-1,2008-12-07 08:09:22,116.3214666,39.9913149
Car-1,2008-12-07 08:09:24,116.3216266,39.9913283
Car-1,2008-12-07 08:09:26,116.3217683,39.9913433
Car-1,2008-12-07 08:09:28,116.3218933,39.9913833
Car-1,2008-12-07 08:09:30,116.3220083,39.9913999
Car-1,2008-12-07 08:09:32,116.3220933,39.9914183
Car-1,2008-12-07 08:09:34,116.3221416,39.991445
Car-1,2008-12-07 08:09:36,116.3221733,39.991445
Car-1,2008-12-07 08:09:38,116.3221833,39.9914483
Car-1,2008-12-07 08:09:40,116.3221966,39.9914583
Car-1,2008-12-07 08:09:42,116.3221966,39.9914666
Car-1,2008-12-07 08:09:44,116.3221866,39.99146
Car-1,2008-12-07 08:09:54,116.3221716,39.9914233
Car-1,2008-12-07 08:09:56,116.3221666,39.9914333
Car-1,2008-12-07 08:10:10,116.3221666,39.9914333
Car-1,2008-12-07 08:10:12,116.322175,39.9914316
Car-1,2008-12-07 08:10:14,116.32219,39.9914333
Car-1,2008-12-07 08:10:16,116.3222366,39.99142
Car-1,2008-12-07 08:10:18,116.322295,39.99142
Car-1,2008-12-07 08:10:20,116.3224149,39.99139
Car-1,2008-12-07 08:10:22,116.3225666,39.9913616
Car-1,2008-12-07 08:10:24,116.3227399,39.9913433
Car-1,2008-12-07 08:10:26,116.3229783,39.9913299
Car-1,2008-12-07 08:10:28,116.3232499,39.9913149
Car-1,2008-12-07 08:10:30,116.3235299,39.9912916
Car-1,2008-12-07 08:10:32,116.3238449,39.9912883
Car-1,2008-12-07 08:10:34,116.3241466,39.991265
Car-1,2008-12-07 08:10:36,116.3244399,39.9912183
Car-1,2008-12-07 08:10:38,116.3247466,39.9912133
Car-1,2008-12-07 08:10:40,116.3250649,39.9912016
Car-1,2008-12-07 08:10:43,116.3255416,39.9911966
Car-1,2008-12-07 08:10:46,116.3259283,39.9912533
Car-1,2008-12-07 08:10:48,116.3260966,39.9912633
Car-1,2008-12-07 08:10:50,116.3262366,39.9912816
Car-1,2008-12-07 08:10:52,116.32631,39.9912816
Car-1,2008-12-07 08:10:54,116.3263633,39.99131
Car-1,2008-12-07 08:10:56,116.32638,39.9913016
Car-1,2008-12-07 08:10:58,116.3264083,39.9912983
Car-1,2008-12-07 08:11:00,116.3264533,39.9912849
Car-1,2008-12-07 08:11:02,116.3265066,39.9912766
Car-1,2008-12-07 08:11:04,116.3265383,39.99128
Car-1,2008-12-07 08:11:06,116.3265533,39.99128
Car-1,2008-12-07 08:11:08,116.326555,39.9912783
Car-1,2008-12-07 08:11:10,116.3265666,39.9912833
Car-1,2008-12-07 08:11:12,116.3265783,39.991295
Car-1,2008-12-07 08:11:14,116.3265849,39.991255
Car-1,2008-12-07 08:12:59,116.3269466,39.9912283
Car-1,2008-12-07 08:13:59,116.3278383,39.9946499
Car-1,2008-12-07 08:20:31,116.3377483,39.9993516
Car-1,2008-12-07 08:20:33,116.3377416,39.9993366
Car-1,2008-12-07 08:20:35,116.337745,39.9993149
Car-1,2008-12-07 08:20:37,116.3377549,39.999295
Car-1,2008-12-07 08:20:39,116.3377516,39.9992833
Car-1,2008-12-07 08:20:42,116.3377516,39.9992833
Car-1,2008-12-07 08:20:44,116.33775,39.99928
Car-1,2008-12-07 08:20:46,116.3377733,39.99928
